timestamp,conversation,bt_level_avg,bt_level_std,bt_total_devices_around,bt_total_far,bt_total_farther,bt_total_near,bt_total_nearer,wifi_level_avg,wifi_level_std,wifi_total_devices_around,wifi_total_far,wifi_total_near,wifi_total_nearer,phone_in_dark,phone_charging,phone_locked,activity_inference_0,activity_inference_1,activity_inference_2,activity_inference_3,audio_inference_0,audio_inference_1,audio_inference_2,audio_inference_3,STRESSED
2013-03-27 23:40:00,142.0,,,,,,,,-77.81481481481481,11.63602110381301,6.0,4.0,4.0,2.0,0.0,0.0,0.0,319.0,0.0,0.0,0.0,247.0,60.0,11.0,1,
2013-03-27 23:50:00,331.0,-88.0,14.849242404917497,2.0,0.0,1.0,1.0,0.0,-73.72413793103448,13.64364883413823,6.0,4.0,4.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 00:00:00,600.0,,,,,,,,-80.15517241379311,11.503100282552918,5.0,3.0,2.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 00:10:00,600.0,-66.0,,1.0,0.0,0.0,1.0,0.0,-76.12820512820512,13.077136937862061,4.0,3.0,2.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 00:20:00,500.0,,,,,,,,-73.13793103448276,13.008233858957237,5.0,3.0,2.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 00:30:00,600.0,-85.0,,1.0,1.0,0.0,0.0,0.0,-72.0,12.518577605966899,5.0,3.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 00:40:00,550.0,,,,,,,,-73.3,13.573815168939083,6.0,4.0,2.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 00:50:00,600.0,-65.0,,1.0,0.0,0.0,0.0,1.0,-73.22641509433963,13.149343255602819,7.0,5.0,2.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 01:00:00,600.0,,,,,,,,-73.84313725490196,13.266220486091655,5.0,3.0,2.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 01:10:00,600.0,-71.0,1.4142135623730951,2.0,0.0,0.0,2.0,0.0,-75.06666666666666,11.605351212146363,6.0,4.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 01:20:00,280.0,,,,,,,,-73.83333333333333,13.495449333489828,5.0,3.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 01:30:00,0.0,-93.0,4.242640687119285,2.0,1.0,1.0,0.0,0.0,-71.26666666666667,15.390971261922965,7.0,3.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 01:40:00,0.0,,,,,,,,-72.10344827586206,14.518564833922904,7.0,3.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 01:50:00,0.0,-96.0,,1.0,0.0,1.0,0.0,0.0,-69.27586206896552,17.23701841859058,5.0,2.0,2.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 02:00:00,0.0,,,,,,,,-71.63333333333334,15.302568441038481,6.0,4.0,2.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 02:10:00,0.0,-98.0,2.1213203435596424,2.0,0.0,2.0,0.0,0.0,-70.62068965517241,14.814893298962634,5.0,3.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 02:20:00,0.0,,,,,,,,-71.76666666666667,14.103679485816768,6.0,3.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 02:30:00,0.0,,,,,,,,-71.66666666666667,15.066418065240414,5.0,3.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 02:40:00,0.0,,,,,,,,-72.3225806451613,13.905371727202882,6.0,3.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 02:50:00,0.0,,,,,,,,-67.96666666666667,15.171443787081545,5.0,3.0,2.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 03:00:00,0.0,,,,,,,,-71.76666666666667,14.192895997887556,7.0,4.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 03:10:00,0.0,-84.0,7.7781745930520225,2.0,1.0,0.0,1.0,0.0,-76.36,16.703223981273663,7.0,4.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 03:20:00,0.0,,,,,,,,-78.51724137931035,16.351551439625705,9.0,5.0,4.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 03:30:00,0.0,-82.0,11.313708498984761,2.0,1.0,0.0,1.0,0.0,-77.33333333333333,18.24315147938412,7.0,4.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 03:40:00,0.0,,,,,,,,-77.4,17.336613125915044,7.0,4.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 03:50:00,0.0,-94.0,6.363961030678928,2.0,1.0,1.0,0.0,0.0,-78.16666666666667,18.163108671821284,7.0,5.0,2.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 04:00:00,0.0,,,,,,,,-77.23333333333333,16.678495575359893,8.0,4.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 04:10:00,0.0,-91.0,8.48528137423857,2.0,1.0,1.0,0.0,0.0,-79.5,16.659827008966833,8.0,5.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 04:20:00,0.0,,,,,,,,-79.25806451612904,16.436111937197055,7.0,4.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 04:30:00,0.0,-85.0,,1.0,1.0,0.0,0.0,0.0,-80.77142857142857,14.994988407991702,8.0,4.0,4.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 04:40:00,0.0,,,,,,,,-79.96551724137932,15.06204991197677,8.0,5.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 04:50:00,0.0,-93.0,,1.0,0.0,1.0,0.0,0.0,-79.76666666666667,14.46721050276608,8.0,5.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 05:00:00,0.0,,,,,,,,-80.86666666666666,13.146173029000865,8.0,5.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 05:10:00,0.0,,,,,,,,-80.58064516129032,14.210460467296297,8.0,5.0,4.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 05:20:00,0.0,,,,,,,,-80.2,13.491567188923476,10.0,7.0,4.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 05:30:00,0.0,-88.0,,1.0,1.0,0.0,0.0,0.0,-80.93333333333334,13.585073202189488,9.0,6.0,4.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 05:40:00,0.0,,,,,,,,-80.58620689655173,13.184360851693832,8.0,5.0,4.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 05:50:00,0.0,-94.0,3.5355339059327378,2.0,0.0,2.0,0.0,0.0,-79.48387096774194,14.22743764899749,8.0,5.0,4.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 06:00:00,0.0,,,,,,,,-79.17241379310344,13.695596769549258,8.0,4.0,4.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 06:10:00,0.0,-86.0,,1.0,1.0,0.0,0.0,0.0,-77.53333333333333,13.686040623211515,7.0,4.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 06:20:00,0.0,,,,,,,,-81.06896551724138,13.434642544189412,9.0,6.0,3.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 06:30:00,0.0,-94.0,,1.0,0.0,1.0,0.0,0.0,-82.46666666666667,13.414277399023081,8.0,5.0,3.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 06:40:00,0.0,,,,,,,,-82.29032258064517,13.472717958444393,9.0,6.0,4.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 06:50:00,0.0,,,,,,,,-79.46511627906976,12.83287160461417,8.0,6.0,4.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 07:00:00,0.0,,,,,,,,-79.03389830508475,11.669077998132328,8.0,4.0,4.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 07:10:00,0.0,-98.0,2.1213203435596424,2.0,0.0,2.0,0.0,0.0,-78.30508474576271,11.61177390279979,8.0,5.0,4.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 07:20:00,0.0,,,,,,,,-78.45762711864407,11.790667954742666,7.0,4.0,3.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 07:30:00,0.0,-94.0,7.7781745930520225,2.0,1.0,1.0,0.0,0.0,-80.13953488372093,12.425077046722105,8.0,5.0,3.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 07:40:00,0.0,,,,,,,,-78.86666666666666,11.895180546956015,9.0,6.0,4.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 07:50:00,0.0,-90.0,,1.0,1.0,0.0,0.0,0.0,-78.42857142857143,13.569753809082092,7.0,4.0,4.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 08:00:00,0.0,,,,,,,,-81.84745762711864,12.659492139358468,9.0,6.0,4.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 08:10:00,0.0,,,,,,,,-78.58823529411765,13.738862861380346,8.0,4.0,4.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 08:20:00,0.0,,,,,,,,-78.5,12.316263311111875,8.0,5.0,3.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 08:30:00,0.0,,,,,,,,-77.63333333333334,11.467583639888357,7.0,4.0,3.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 08:40:00,0.0,,,,,,,,-78.1,12.592492722339578,8.0,4.0,4.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 08:50:00,0.0,-92.0,,1.0,0.0,1.0,0.0,0.0,-77.70588235294117,12.565602389761194,6.0,3.0,3.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 09:00:00,0.0,,,,,,,,-77.77777777777777,12.376004243604736,8.0,6.0,4.0,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
2013-03-28 09:10:00,0.0,,,,,,,,-76.23333333333333,13.245224424285441,6.0,3.0,3.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0,
